ALPK3,4.39,ESTAPAR ON NM,Serviços Diversos,Serviços Diversos,962752000.0,0.0,0.4,4.23,0.5,75.6,682.32,23.2
ALSC3,27.75,ALIANSCE ON NM,Exploração de Imóveis,Exploração de Imóveis,5694240000.0,1.0,5.7,0.0,29.3,46.59,38.57,2.3
ALUP11,33.1,ALUPAR UNT N2,Energia Elétrica,Energia Elétrica,10910700000.0,2.9,12.9,1.39,39.5,30.56,9.38,-8.8
ALUP3,12.55,ALUPAR ON N2,Energia Elétrica,Energia Elétrica,12410500000.0,2.5,12.9,1.39,39.5,47.43,10.67,-8.8
ALUP4,10.44,ALUPAR PN N2,Energia Elétrica,Energia Elétrica,10323900000.0,3.0,12.9,1.39,39.5,23.57,8.87,-8.8
AMAR3,1.02,LOJAS MARISA ON NM,Comércio,"Tecidos, Vestuário e Calçados",523725000.0,0.0,5.4,2.9,1.1,0.0,32.55,-17.0
AMBP3,0.26,AMBIPAR ON NM,Água e Saneamento,Água e Saneamento,434309000.0,0.0,-23.5,10.1,-2.6,-99.03,-1.69,56.8
AMBV3,87.0,AMBEV ON,,,272509000000.0,0.0,32.9,0.1,30.8,0.0,26.65,21.7
AMBV4,86.8,AMBEV PN,,,271883000000.0,0.0,32.9,0.1,30.8,0.0,26.59,21.7
AMER3,5.81,AMERICANAS ON,Comércio,Produtos Diversos,1163420000.0,0.0,-17.2,0.4,-5.9,-27.74,-1.43,-9.9
AMIL3,32.2,AMIL ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,11809200000.0,0.0,-10.5,1.24,-1.5,0.0,-73.28,28.5
AMOB3,14.0,AUTOMOB ON NM,Automóveis e Motocicletas,Automóveis e Motocicletas,530404000.0,0.0,-13.2,1.48,-1.4,-40.43,-1.94,0.0
AMPI3,55.0,AMPLA INVEST ON,Energia Elétrica,Energia Elétrica,660000000.0,0.0,22.1,4.48,15.1,0.0,12.41,14.1
ANIM3,3.65,ANIMA ON NM,Diversos,Serviços Educacionais,1474120000.0,1.5,6.7,2.34,7.5,94.39,9.35,13.3
APER3,46.75,ALPER S.A. ON,Previdência e Seguros,Corretoras de Seguros,953279000.0,0.0,-6.2,0.4,-8.2,4.14,-32.82,42.2
APTI4,3500.0,ALIPERTI PN,Agropecuária,Agricultura,66500000.0,0.0,10.9,0.23,81.2,0.0,2.2,8.6
ARCE3,54.0,BELGO ON N1,,,35153600000.0,0.0,18.6,0.17,19.5,0.0,14.01,48.5
ARCZ3,3.66,ARACRUZ CELULOSE SA ON N1,Madeira e Papel,Papel e Celulose,3779150000.0,0.0,-104.0,3.92,-58.0,0.0,-1.88,0.8
ARCZ6,3.63,ARACRUZ CELULOSE SA PNB N1,Madeira e Papel,Papel e Celulose,3748170000.0,0.0,-104.0,3.92,-58.0,0.0,-1.86,0.8
ARLA3,2.47,ARTHUR LANGE ON,,,11016200.0,0.0,28.0,-1.02,-96.6,0.0,-1.62,-47.5
ARLA4,3.38,ARTHUR LANGE PN,,,15074800.0,0.0,28.0,-1.02,-96.6,0.0,-2.21,-47.5
ARML3,4.7,ARMAC ON NM,Diversos,Aluguel de carros,1628520000.0,4.5,4.3,1.97,3.0,-15.61,30.05,31.0
ARND3,1.24,ARANDU ON NM,Programas e Serviços,Programas e Serviços,174830000.0,0.0,4.5,0.0,21.9,-51.57,13.14,1.7
ARPS3,0.3,DOUAT CIA TEXTIL ON,,,0.0,0.0,20.3,-1.24,-11.6,0.0,0.0,-17.5
ARPS4,0.0,DOUAT CIA TEXTIL PN,,,0.0,0.0,20.3,-1.24,-11.6,0.0,0.0,-17.5
ARTE3,7.7,KUALA S.A. ON,,,1216600.0,0.0,102.9,0.0,0.0,0.0,-0.04,-64.3
ARTE4,6.81,KUALA S.A. PN,,,1075980.0,0.0,102.9,0.0,0.0,0.0,-0.03,-64.3
ARTR3,10.01,ARTERIS ON,Transporte,Exploração de Rodovias,5754540000.0,0.0,-62.4,5.24,-32.4,0.0,-3.19,10.7
ASAI3,7.99,ASSAI ON NM,Comércio e Distribuição,Alimentos,10814400000.0,1.3,16.0,2.85,1.2,41.14,11.78,29.3
ASSM3,7.12,HOTEIS ELDORADO ON,,,1687440.0,0.0,-50.7,-0.56,-2915.6,0.0,0.33,-8.8
ASSM4,6.1,HOTEIS ELDORADO PN,,,1445700.0,0.0,-50.7,-0.56,-2915.6,0.0,0.29,-8.8
ASTA4,25.83,SANTISTA TÊXTIL S.A. PN,,,516600000.0,0.0,-3.3,0.85,-2.1,0.0,-30.79,-4.7
ATED3,2.22,ATOM EDUC ON,Diversos,Serviços Educacionais,52847100.0,0.0,-24.3,0.05,-13.2,51.02,-10.73,0.0
AURA33,84.63,AURA 360 DR3,Mineração,Minerais Metálicos,18381300000.0,1.0,-14.9,1.33,-5.8,261.28,-72.1,21.3
AURE3,12.41,AUREN ON NM,Energia Elétrica,Energia Elétrica,13035200000.0,0.5,-11.1,2.04,-10.0,37.13,-9.52,33.9
AUTM3,19.7,AUTOMETAL ON NM,Material de Transporte,Material Rodoviário,2477650000.0,0.0,9.5,0.97,4.3,0.0,20.0,28.2
AVIL3,0.93,ACOS VILLARES ON,Siderurgia e Metalurgia,Siderurgia,4598210000.0,0.0,32.0,0.52,18.0,0.0,12.97,1.7
AVLL3,1.12,ALPHAVILLE ON NM,Construção Civil,Incorporações,218770000.0,0.0,62.8,-3.85,-15.0,-60.0,-1.84,29.0
AXIA3,65.15,AXIA ENERGIA ON N1,Energia Elétrica,Energia Elétrica,150407000000.0,8.3,-5.5,0.65,-14.1,106.23,-25.02,7.6
AXIA6,68.63,AXIA ENERGIA PNB N1,Energia Elétrica,Energia Elétrica,158441000000.0,8.7,-5.5,0.65,-14.1,93.26,-26.36,7.6
AZEV3,0.25,AZEVEDO & TRAVASSOS ON,Construção e Engenharia,Construção Pesada,148189000.0,0.0,-453.3,0.41,-269.4,-65.15,-0.21,35.5
AZEV4,0.23,AZEVEDO & TRAVASSOS PN,Construção e Engenharia,Construção Pesada,136334000.0,0.0,-453.3,0.41,-269.4,-67.3,-0.19,35.5
AZTE3,0.39,AZT ENERGIA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",132247000.0,0.0,-1.0,0.01,-79.9,-54.42,-53.85,0.0
AZUL4,0.84,AZUL PN,Transporte,Transporte Aéreo,776518000.0,0.0,-57.2,-1.36,72.5,-79.86,0.05,24.7
AZZA3,24.76,AZZAS 2154 ON,Comércio,"Tecidos, Vestuário e Calçados",5112690000.0,3.6,9.0,0.37,6.3,-17.63,6.79,43.6
B3SA3,14.41,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,75890300000.0,2.0,24.5,0.74,44.8,43.76,15.63,1.4
BAHI11,2.0,BIOMA EDUC PRB,Diversos,Serviços Educacionais,53266400.0,0.0,-82.1,0.72,-16.2,0.0,-0.97,7.5
BAHI4,86.0,BIOMA EDUC PN,Diversos,Serviços Educacionais,2290450000.0,0.0,-82.1,0.72,-16.2,0.0,-41.84,7.5
BAHI5,65.0,BIOMA EDUC PNA,Diversos,Serviços Educacionais,1731160000.0,0.0,-82.1,0.72,-16.2,0.0,-31.62,7.5
BALM3,26.26,BAUMER ON,Equipamentos,Equipamentos,257348000.0,8.7,13.5,0.12,11.2,128.35,10.4,11.0
BALM4,23.05,BAUMER PN,Equipamentos,Equipamentos,225890000.0,9.9,13.5,0.12,11.2,142.54,9.13,11.0
BAUH4,93.49,EXCELSIOR PN,Alimentos Processados,Carnes e Derivados,488205000.0,1.3,19.7,0.0,10.2,20.54,17.46,11.5
BAZA3,75.51,BANCO DA AMAZONIA S.A. ON,Intermediários Financeiros,Bancos,4232940000.0,10.6,14.7,0.0,0.0,-3.95,3.94,15.9
BBAS3,22.01,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,126136000000.0,5.4,12.1,0.0,0.0,-6.49,5.84,1.1
BBDC3,16.21,BANCO BRADESCO S.A. ON N1,Intermediários Financeiros,Bancos,171697000000.0,7.5,13.6,0.0,0.0,59.07,7.46,-6.1
BBDC4,18.92,BANCO BRADESCO S.A. PN N1,Intermediários Financeiros,Bancos,200401000000.0,7.1,13.6,0.0,0.0,69.31,8.71,-6.1
BBSE3,35.75,BBSEGURIDADE ON NM,Previdência e Seguros,Seguradoras,71500000000.0,11.9,69.9,0.0,0.0,9.58,7.94,0.0
BBTG11,15.01,BTG PACTUAL UNITS UNT,Intermediários Financeiros,Bancos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBTG12,3.15,BTG PACTUAL DR3 B,,,265986000.0,0.0,10.0,0.0,0.0,0.0,265986.0,0.0
BBTG13,0.0,BTG PACTUAL DR3 A,,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
BCAL6,0.28,PRO METALURG PNB,,,20274800.0,0.0,4.1,-0.74,-114.5,0.0,-1.7,37.7
BDLL3,9.9,BARDELLA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,15840000.0,0.0,-6.8,-0.82,25.6,-17.5,1.05,33.0
BDLL4,6.17,BARDELLA PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,9872000.0,0.0,-6.8,-0.82,25.6,-23.16,0.66,33.0
BECE3,9.1,BEC ON,,,841468000.0,0.0,-255.2,0.0,0.0,0.0,-3.42,12.8
BECE4,8.75,BEC PN,,,809104000.0,0.0,-255.2,0.0,0.0,0.0,-3.29,12.8
BEEF3,6.02,Minerva ON NM,Alimentos Processados,Carnes e Derivados,6020720000.0,0.0,-63.1,20.66,-1.6,29.86,-7.39,14.5
BEES3,7.86,BANESTES S/A ON,Intermediários Financeiros,Bancos,2731380000.0,4.8,17.9,0.0,0.0,10.9,6.24,11.8
BEES4,7.84,BANESTES S/A PN,Intermediários Financeiros,Bancos,2724430000.0,4.8,17.9,0.0,0.0,6.6,6.23,11.8
BELG3,1375.5,BELGO ON,,,895441000.0,0.0,18.6,0.17,19.5,0.0,0.36,48.5
BELG4,1370.0,BELGO PN,,,891860000.0,0.0,18.6,0.17,19.5,0.0,0.36,48.5
BEMA3,10.8,Bematech ON NM,Computadores e Equipamentos,Computadores e Equipamentos,556934000.0,0.0,7.9,0.19,8.4,0.0,15.32,10.6
BERG3,33.0,BERGAMO ON,,,0.0,0.0,-102.7,2.86,-32.6,0.0,0.0,-8.0
BESP3,330.0,BANESPA ON,,,12786800000.0,0.0,23.8,0.0,0.0,0.0,10.38,1.8
BESP4,344.0,BANESPA PN,,,13329300000.0,0.0,23.8,0.0,0.0,0.0,10.82,1.8
BFIT3,0.98,BANCO SUDAMERIS BRASIL SA ON,,,3812740000.0,0.0,11.1,0.0,0.0,0.0,18.49,35.7
BFIT4,0.93,BANCO SUDAMERIS BRASIL SA PN,,,3618220000.0,0.0,11.1,0.0,0.0,0.0,17.55,35.7
BGIP3,35.82,BANESE ON,Intermediários Financeiros,Bancos,771849000.0,11.2,15.2,0.0,0.0,66.26,5.83,5.4
BGIP4,31.99,BANESE PN,Intermediários Financeiros,Bancos,689321000.0,13.8,15.2,0.0,0.0,53.83,5.21,5.4
BHGR3,19.1,BHG ON NM,Exploração de Imóveis,Exploração de Imóveis,1186900000.0,0.0,-0.4,0.2,-1.3,0.0,-272.16,20.7
BHIA3,3.04,CASAS BAHIA ON,Comércio,Eletrodomésticos,1987790000.0,0.0,-72.6,3.54,-6.7,-6.46,-1.04,-3.5
BICB3,8.0,BicBanco ON N1,Intermediários Financeiros,Bancos,2023230000.0,0.0,-91.0,0.0,0.0,0.0,-2.35,-31.2
BICB4,8.25,BicBanco PN N1,Intermediários Financeiros,Bancos,2086460000.0,0.0,-91.0,0.0,0.0,0.0,-2.43,-31.2
BIDI11,10.4,BANCO INTER UNT N2,Intermediários Financeiros,Bancos,8991140000.0,0.0,0.5,0.0,0.0,-39.22,229.93,37.0
BIDI3,3.4,BANCO INTER ON N2,Intermediários Financeiros,Bancos,8818230000.0,0.0,0.5,0.0,0.0,-39.5,225.51,37.0
BIDI4,3.41,BANCO INTER PN N2,Intermediários Financeiros,Bancos,8844170000.0,0.0,0.5,0.0,0.0,-39.96,226.17,37.0
BIED3,3.5,BIOMA EDUC ON,Diversos,Serviços Educacionais,93216200.0,0.0,-82.1,0.72,-16.2,-21.17,-1.7,7.5
BIOM3,7.91,BIOMM SA ON,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,1082420000.0,0.0,-21.7,0.36,-43.3,11.99,-17.55,8.6
BIOM4,8.68,BIOMM SA PN,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,1187790000.0,0.0,-21.7,0.36,-43.3,0.0,-19.26,8.6
BISA3,1.58,BROOKFIELD INCORPORACOES ON NM,Construção Civil,Incorporações,2116570000.0,0.0,-66.9,0.77,-96.4,0.0,-1.77,-24.2
BLAU3,13.42,BLAU ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,2407470000.0,3.4,13.5,0.23,17.9,1.18,7.61,7.5
BLUT3,5.14,B TECH EQI ON,Outros,Outros,26229400.0,0.0,-8.2,0.12,0.0,-57.17,-5.63,0.0
BLUT4,1.52,B TECH EQI PN,Outros,Outros,7756560.0,0.0,-8.2,0.12,0.0,-67.24,-1.66,0.0
BMEB3,51.8,BANCO MERCANTIL DO BRASIL S/A ON,Intermediários Financeiros,Bancos,5430300000.0,2.1,41.9,0.0,0.0,61.17,5.76,21.8
BMEB4,77.5,BANCO MERCANTIL DO BRASIL S/A PN,Intermediários Financeiros,Bancos,8124480000.0,1.5,41.9,0.0,0.0,114.41,8.62,21.8
BMEF3,11.0,BMF ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,11118600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMGB11,33.6,BANCO BMG UNT N1,Intermediários Financeiros,Bancos,5032340000.0,0.0,12.7,0.0,0.0,0.0,10.32,0.9
BMGB4,4.52,BANCO BMG PN N1,Intermediários Financeiros,Bancos,2707880000.0,8.6,12.7,0.0,0.0,27.02,5.55,0.9
BMIN3,22.99,BANCO MERCANTIL DE INVESTIMENTOS SA ON,Intermediários Financeiros,Bancos,110927000.0,1.5,5.6,0.0,0.0,19.88,13.78,-2.0
BMIN4,17.85,BANCO MERCANTIL DE INVESTIMENTOS SA PN,Intermediários Financeiros,Bancos,86126200.0,7.8,5.6,0.0,0.0,18.12,10.7,-2.0
BMKS3,377.0,MONARK ON,Viagens e Lazer,Bicicletas,171441000.0,35.3,24.3,0.01,422.1,60.32,2.87,-7.3
BMOB3,24.56,BEMOBI TECH ON NM,Programas e Serviços,Programas e Serviços,2102540000.0,13.4,12.9,0.02,9.2,96.49,14.32,40.7
BMTO3,7.82,BRASMOTOR S.A ON,,,2239990000.0,0.0,12.0,0.0,0.0,0.0,17.84,0.0
BMTO4,7.57,BRASMOTOR S.A PN,,,2168380000.0,0.0,12.0,0.0,0.0,0.0,17.27,0.0
BNBR3,109.75,BANCO DO NORDESTE ON,Intermediários Financeiros,Bancos,10832300000.0,5.5,18.2,0.0,0.0,25.92,3.84,8.0
BNBR4,27.01,BANCO DO NORDESTE PN,Intermediários Financeiros,Bancos,2665890000.0,0.0,18.2,0.0,0.0,0.0,0.94,8.0
BNCA3,70.3,NOSSA CAIXA-NOSSO BANCO ON,Intermediários Financeiros,Bancos,7524630000.0,0.0,-2.7,0.0,0.0,0.0,-90.3,2.4
BOAS3,7.95,BOA VISTA ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,4212250000.0,0.0,12.0,0.0,32.4,5.72,15.22,11.0
BOBR3,1.0,BOMBRIL SA ON,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,260510000.0,0.0,7721.5,400.27,4.7,0.0,3.57,10.6
BOBR4,1.36,BOMBRIL SA PN,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,354294000.0,0.0,96.5,-0.18,-97.1,-35.55,-0.23,9.1
BOVH3,15.71,Bovespa Hld ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,11356600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPAC11,56.46,BTGP BANCO UNT,Intermediários Financeiros,Bancos,216545000000.0,1.9,22.4,0.0,0.0,92.08,14.75,13.4
BPAC3,31.8,BTGP BANCO ON,Intermediários Financeiros,Bancos,365895000000.0,1.1,22.4,0.0,0.0,110.16,24.92,13.4
BPAC5,12.33,BTGP BANCO PNA,Intermediários Financeiros,Bancos,141870000000.0,2.9,22.4,0.0,0.0,72.38,9.66,13.4
BPAN4,11.96,BANCO PAN PN,Intermediários Financeiros,Bancos,15178100000.0,2.0,9.7,0.0,0.0,82.7,20.14,-1.5
BPAR3,182.07,BANPARÁ S.A. ON,Intermediários Financeiros,Bancos,1733670000.0,0.0,11.4,0.0,0.0,0.0,6.87,10.2
BPAT33,20.0,Patagonia DR3,Intermediários Financeiros,Bancos,719145000.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0
BPHA3,0.62,BRAZIL PHARMA S.A. ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,70110200.0,0.0,-402.5,-0.26,-33652.5,-60.0,0.06,-53.4
BPIA3,6.1,BEP ON,Intermediários Financeiros,Bancos,82276800.0,0.0,18.8,0.0,0.0,0.0,5.64,13.4
BPNM3,0.0,BANCO PAN ON N1,Intermediários Financeiros,Bancos,0.0,0.0,9.7,0.0,0.0,0.0,0.0,-1.5
BRAP3,19.38,BRADESPAR S/A ON N1,Mineração,Minerais Metálicos,7618220000.0,9.1,12.4,0.0,0.0,28.53,6.75,0.0
BRAP4,21.4,BRADESPAR S/A PN N1,Mineração,Minerais Metálicos,8412280000.0,9.1,12.4,0.0,0.0,35.22,7.45,0.0
BRAV3,13.74,BRAVA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",6383020000.0,0.0,7.8,1.28,8.8,-31.78,6.57,109.2
BRBI11,19.16,BR PARTNERS UNT N2,Intermediários Financeiros,Bancos,2011720000.0,9.7,21.3,19.31,54.2,50.0,11.65,-41.5
BRFS3,17.95,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,28579900000.0,13.0,23.9,1.58,5.5,-28.32,8.49,8.1
BRGE11,13.18,CONSORCIO ALFA PNE,Previdência e Seguros,Seguradoras,970654000.0,2.1,2.2,0.0,1381.3,22.7,33.11,-45.6
BRGE12,13.47,CONSORCIO ALFA PNF,Previdência e Seguros,Seguradoras,992012000.0,0.0,2.2,0.0,1381.3,24.84,33.84,-45.6
BRGE3,13.5,CONSORCIO ALFA ON,Previdência e Seguros,Seguradoras,994221000.0,0.0,2.2,0.0,1381.3,22.5,33.91,-45.6
BRGE5,13.18,CONSORCIO ALFA PNA,Previdência e Seguros,Seguradoras,970654000.0,0.0,2.2,0.0,1381.3,22.92,33.11,-45.6
BRGE6,12.92,CONSORCIO ALFA PNB,Previdência e Seguros,Seguradoras,951506000.0,4.4,2.2,0.0,1381.3,23.39,32.46,-45.6
BRGE7,13.07,CONSORCIO ALFA PNC,Previdência e Seguros,Seguradoras,962553000.0,2.5,2.2,0.0,1381.3,45.4,32.83,-45.6
BRGE8,13.17,CONSORCIO ALFA PND,Previdência e Seguros,Seguradoras,969918000.0,1.8,2.2,0.0,1381.3,22.75,33.08,-45.6
BRIT3,3.06,BRISANET ON NM,Telecomunicações,Telecomunicações,1374230000.0,0.0,7.4,1.25,8.5,-21.94,11.85,22.6
BRIV3,12.86,ALFA DE INVESTIMENTO ON,Intermediários Financeiros,Bancos,1139410000.0,0.0,0.9,0.0,0.0,21.9,71.86,-44.7
BRIV4,12.54,ALFA DE INVESTIMENTO PN,Intermediários Financeiros,Bancos,1111060000.0,2.6,0.9,0.0,0.0,21.97,70.08,-44.7
BRKM3,7.86,BRASKEM ON N1,Químicos,Petroquímicos,6266050000.0,0.0,134.6,-12.66,-7.2,-40.81,-1.32,-8.4
BRKM5,7.75,BRASKEM PNA N1,Químicos,Petroquímicos,6178360000.0,0.0,134.6,-12.66,-7.2,-39.55,-1.3,-8.4
BRKM6,8.1,BRASKEM PNB N1,Químicos,Petroquímicos,6457380000.0,0.0,134.6,-12.66,-7.2,-10.0,-1.36,-8.4
BRML3,8.26,BR MALLS PARTICIPAÇÔES S/A ON,Exploração de Imóveis,Exploração de Imóveis,6770890000.0,0.0,4.5,0.28,37.1,0.0,12.56,13.9
BRPR3,131.17,BR PROPERTIES ON NM,Exploração de Imóveis,Exploração de Imóveis,60862900.0,1202.9,-9.3,0.07,-124.0,-63.42,-0.57,-25.1
BRSR3,16.02,BANRISUL S/A ON,Intermediários Financeiros,Bancos,6551760000.0,8.5,11.3,0.0,0.0,45.12,5.32,5.4
BRSR4,181.1,BANRISUL S/A PN,Intermediários Financeiros,Bancos,74065200.0,0.0,11.3,0.0,0.0,0.0,0.06,5.4
BRSR5,15.3,BANRISUL S/A PNA,Intermediários Financeiros,Bancos,6257300000.0,10.7,11.3,0.0,0.0,10.94,5.08,5.4
BRSR6,14.79,BANRISUL S/A PNB,Intermediários Financeiros,Bancos,6048730000.0,9.2,11.3,0.0,0.0,60.4,4.91,5.4
BRST3,3.36,BRISANET ON NM,Telecomunicações,Telecomunicações,1471710000.0,1.2,4.4,1.25,4.3,15.54,21.26,0.0
BRTP3,35.71,BRASIL TELECOM PARTICIPAÇÕES S.A. ON N1,,,12997300000.0,0.0,-3.6,0.91,-3.0,0.0,-67.26,3.7
BRTP4,20.81,BRASIL TELECOM PARTICIPAÇÕES S.A. PN N1,,,7574200000.0,0.0,-3.6,0.91,-3.0,0.0,-39.19,3.7
BSCT3,4.05,BESC S.A. ON,Intermediários Financeiros,Bancos,680311.0,0.0,9.0,0.0,0.0,0.0,0.04,1.9
BSCT5,3.5,BESC S.A. PNAANT,Intermediários Financeiros,Bancos,587923000.0,0.0,9.0,0.0,0.0,0.0,30.51,1.9
BSCT6,2.58,BESC S.A. PNBANT,Intermediários Financeiros,Bancos,433383000.0,0.0,9.0,0.0,0.0,0.0,22.49,1.9
BSEV3,9.0,BIOSEV ON NM,Alimentos Processados,Açucar e Alcool,9183860000.0,0.0,-19.1,-8.95,1.6,21.13,56.31,7.1
BSGR3,1091.28,AGF BRASIL SEGUROS ON,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
